Identifier,Stride,Type,H/W,C,Oc,K,Oi,MACs
1,1,D,48,8,1,3,8,165888
2,1,P,48,8,16,1,8,294912
3,2,D,48,16,1,3,16,331776
4,1,P,24,16,32,1,16,294912
5,1,D,24,32,1,3,32,165888
6,2,P,24,32,32,1,32,589824
7,2,D,24,32,1,3,32,165888
8,1,P,12,32,64,1,32,294912
9,1,D,12,64,1,3,64,82944
10,1,P,12,64,64,1,64,589824
11,2,D,12,64,1,3,64,82944
12,1,P,6,64,128,1,64,294912
13,1,D,6,128,1,3,128,41472
14,1,P,6,128,128,1,128,589824
15,1,D,6,128,1,3,128,41472
16,1,P,6,128,128,1,128,589824
17,1,D,6,128,1,3,128,41472
18,1,P,6,128,128,1,128,589824
19,1,D,6,128,1,3,128,41472
20,1,P,6,128,128,1,128,589824
21,1,D,6,128,1,3,128,41472
22,1,P,6,128,128,1,128,589824
23,2,D,6,128,1,3,128,41472
24,1,P,3,128,256,1,128,294912
25,1,D,3,256,1,3,256,20736
26,1,P,3,256,256,1,256,589824
